City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
253,Tomatlan,MX,2021-04-04 04:04:51,19.9333,-105.25,69.46,77,35,1.28
254,Nanortalik,GL,2021-04-04 04:04:51,60.1432,-45.2371,35.13,90,100,11.61
255,Rio Grande,BR,2021-04-04 04:01:17,-32.035,-52.0986,68.0,92,0,11.25
256,Lufilufi,WS,2021-04-04 04:04:51,-13.8745,-171.5986,89.6,74,40,8.05
257,Bagdarin,RU,2021-04-04 04:04:52,54.4333,113.6,35.4,45,99,11.23
258,Gorlice,PL,2021-04-04 04:04:52,49.6556,21.1604,33.01,95,27,4.0
259,Talnakh,RU,2021-04-04 04:04:52,69.4865,88.3972,-2.88,74,4,10.98
260,Sur,OM,2021-04-04 04:04:53,22.5667,59.5289,87.28,43,6,4.18
261,Ilulissat,GL,2021-04-04 04:04:53,69.2167,-51.1,-0.4,60,3,8.05
262,Llata,PE,2021-04-04 04:04:53,-9.4167,-76.7833,51.89,94,98,2.37
263,Takoradi,GH,2021-04-04 04:04:54,4.8845,-1.7554,78.76,89,17,4.54
264,Kamenskiy,RU,2021-04-04 04:04:54,50.8855,45.488,33.08,86,100,15.17
265,Boffa,GN,2021-04-04 04:04:54,10.1667,-14.0333,73.94,94,40,2.66
266,Abu Kamal,SY,2021-04-04 04:04:55,34.4506,40.9171,56.17,64,2,4.54
267,Kaitangata,NZ,2021-04-04 04:04:55,-46.2817,169.8464,64.0,61,42,21.99
268,Watsa,CD,2021-04-04 04:04:55,3.0372,29.5355,66.83,78,100,3.31
269,Zhigansk,RU,2021-04-04 04:04:56,66.7697,123.3711,-3.95,84,99,5.46
270,Sidi Ali,DZ,2021-04-04 04:04:56,36.0998,0.4206,52.48,81,0,4.99
271,Ridgecrest,US,2021-04-04 04:04:56,35.6225,-117.6709,75.99,8,1,3.44
272,Avallon,FR,2021-04-04 04:04:57,47.4833,3.9,33.01,77,0,5.03
273,Olafsvik,IS,2021-04-04 04:04:57,64.8945,-23.7142,26.01,75,72,21.23
274,Zakamensk,RU,2021-04-04 04:04:57,50.3741,103.2863,44.92,28,8,5.73
275,Los Llanos De Aridane,ES,2021-04-04 04:04:58,28.6585,-17.9182,64.4,68,75,5.75
276,Manga,BF,2021-04-04 04:04:58,11.6636,-1.0731,79.45,11,9,7.11
277,Myatlevo,RU,2021-04-04 04:04:58,54.8969,35.6762,24.8,93,69,3.87
278,Angoram,PG,2021-04-04 04:04:59,-4.0625,144.0661,79.61,84,100,1.43
279,Koslan,RU,2021-04-04 04:04:59,63.4564,48.8989,28.89,92,98,1.16
280,Sinnamary,GF,2021-04-04 04:04:59,5.3833,-52.95,77.31,89,99,12.75
281,Bay-Khaak,RU,2021-04-04 04:05:00,51.1667,94.5,34.74,57,71,1.1
282,Pangody,RU,2021-04-04 04:05:00,65.85,74.4859,30.27,96,100,8.03
283,Astoria,US,2021-04-04 04:00:59,46.1879,-123.8313,52.0,87,75,4.61
284,Asau,RO,2021-04-04 04:05:00,46.4333,26.4,39.2,87,75,8.05
285,Dingle,PH,2021-04-04 04:05:01,10.9995,122.6711,88.54,53,34,15.05
286,Lasa,IT,2021-04-04 04:05:01,46.6166,10.7002,34.0,74,0,10.36
287,Changde,CN,2021-04-04 04:05:01,29.0464,111.6783,55.98,75,97,11.18
288,Fortuna,US,2021-04-04 04:05:02,40.5982,-124.1573,51.01,87,90,6.91
289,Axim,GH,2021-04-04 04:05:02,4.8699,-2.2405,78.75,89,13,4.79
290,Nizhniy Kuranakh,RU,2021-04-04 04:05:03,58.8353,125.4869,23.54,69,100,3.27
291,Mogadishu,SO,2021-04-04 04:05:03,2.0371,45.3438,82.47,76,20,11.52
292,Bandarbeyla,SO,2021-04-04 04:05:03,9.4942,50.8122,78.42,75,100,2.62
293,Udachnyy,RU,2021-04-04 04:01:30,66.4167,112.4,-4.85,86,97,9.53
